zip_code,cluster,cluster_label
11417,0,Emerging
11418,0,Emerging
11419,0,Emerging
11420,0,Emerging
11421,0,Emerging
11422,0,Emerging
11423,0,Emerging
11426,0,Emerging
11427,0,Emerging
11428,0,Emerging
11429,0,Emerging
11432,0,Emerging
11433,0,Emerging
11435,0,Emerging
11436,0,Emerging
11501,0,Emerging
11507,3,Stable
11509,3,Stable
11510,0,Emerging
11514,0,Emerging
11516,3,Stable
11518,0,Emerging
11520,0,Emerging
11530,0,Emerging
11542,0,Emerging
11545,3,Stable
11547,3,Stable
11548,3,Stable
11550,0,Emerging
11552,0,Emerging
11553,0,Emerging
11554,0,Emerging
11557,0,Emerging
11558,0,Emerging
11559,0,Emerging
11560,3,Stable
11561,0,Emerging
11563,0,Emerging
11565,0,Emerging
11566,0,Emerging
11568,3,Stable
11569,0,Emerging
11570,0,Emerging
11572,0,Emerging
11575,0,Emerging
11576,3,Stable
11577,0,Emerging
11579,0,Emerging
11580,0,Emerging
11581,0,Emerging
11590,0,Emerging
11596,3,Stable
11598,0,Emerging
11691,0,Emerging
11692,0,Emerging
11694,3,Stable
11701,0,Emerging
11702,0,Emerging
11703,0,Emerging
11704,0,Emerging
11705,0,Emerging
11706,0,Emerging
11709,0,Emerging
11710,0,Emerging
11713,0,Emerging
11714,0,Emerging
11715,0,Emerging
11716,0,Emerging
11717,0,Emerging
11718,3,Stable
11719,0,Emerging
11720,0,Emerging
11721,0,Emerging
11722,0,Emerging
11724,3,Stable
11725,0,Emerging
11726,0,Emerging
11727,0,Emerging
11729,0,Emerging
11730,0,Emerging
11731,0,Emerging
11732,3,Stable
11733,0,Emerging
11735,0,Emerging
11738,0,Emerging
11739,1,Gentrifying
11740,0,Emerging
11741,0,Emerging
11742,0,Emerging
11743,0,Emerging
11746,0,Emerging
11747,0,Emerging
11751,0,Emerging
11752,0,Emerging
11753,0,Emerging
11754,0,Emerging
11755,0,Emerging
11756,0,Emerging
11757,0,Emerging
11758,0,Emerging
11762,0,Emerging
11763,0,Emerging
11764,0,Emerging
11765,3,Stable
11766,0,Emerging
11767,0,Emerging
11768,3,Stable
11769,0,Emerging
11770,3,Stable
11771,3,Stable
