zip_code,median_price,median_price_sqft,listing_count,median_house_size,zhvi_current,growth_1yr,growth_5yr,log_median_price,price_to_zhvi
10001,3.79e+06,2057.245,123,1848.0,1704343.908403305,0.0021556263938363597,-0.16381615701884306,15.147877,2.2237296013517702
10002,1.899999e+06,1961.6978,213,1037.0,952146.5877989857,0.018767869693977042,-0.1638782679679491,14.457364,1.995490005790077
10003,2.345e+06,1597.8723,152,1387.0,1337491.6012353906,0.041666268331077116,-0.1499040887685493,14.667796,1.753282037684582
10004,1.2675e+06,1302.8728,68,1112.0,1220547.9742601293,0.05557147580850017,-0.07346719017943082,14.052558,1.0384679887477033
10005,1.825e+06,1354.5072,101,1246.0,1108266.7326142592,0.015253322790986113,-0.045890741501144375,14.417091,1.6467154939272235
10006,1.9e+06,1788.9253,60,1080.0,1062062.502276965,-0.0008411881609687265,-0.08656401603380608,14.457365,1.7889719257826857
10007,3.4e+06,1845.3427,103,1750.0,3112678.221150572,0.05319046029303089,0.1537325425809662,15.039287,1.092306932627049
10009,1.3625e+06,1772.4583,50,856.0,1018434.3607349362,0.05959325220700078,0.16055657633292994,14.124832,1.3378378151113977
10010,2.15e+06,1777.7778,169,1326.0,1238634.2070750932,0.0161751288494842,-0.14961713202048646,14.580978,1.7357828386453198
10011,2.6975e+06,1776.8953,312,1428.5,1583751.88429158,0.027026246226227395,-0.18476756358680155,14.807837,1.7032339640792946
10012,3.997e+06,1932.0276,90,2300.0,2714051.819007006,0.11929979847791697,0.043906329684396284,15.201055,1.4727058532958992
10013,3.8e+06,2126.9412,235,1916.0,3593983.433293421,0.08218068338568793,0.10243669185358378,15.150512,1.057322625585336
10014,2.84e+06,2022.293,136,1251.5,1812621.6589205116,0.020565124270360068,-0.15616445961379097,14.859315,1.566791385297323
10016,1.825e+06,1669.6646,334,1033.0,914933.6730040312,-0.006342792966984299,-0.05670188110158922,14.417091,1.9946801105351373
10017,1.6125e+06,1301.6621,74,1266.0,747615.3697568801,0.04265965471546804,-0.11162760470132217,14.293297,2.1568577442761443
10018,2.1625e+06,1569.5547,22,1381.5,1307169.8102123234,-0.05746938262477466,-0.16284987958889355,14.586776,1.6543374725344562
10019,1.905e+06,1669.3989,234,1203.0,1193616.4019765137,0.03899304049626544,-0.02849351988588214,14.459993,1.5959901328814716
10021,1.675e+06,1373.4031,125,1300.0,1398771.6438742962,0.02069212587558725,-0.16261241413852795,14.331325,1.1974792363967364
10022,1.595e+06,1055.7339,312,1350.0,1107482.6472737454,0.03632572013439158,-0.07770361357731695,14.282385,1.4402031525517447
10023,2.595e+06,1923.251,324,1304.5,1414986.4922841657,0.005762622402041934,-0.11600359700238792,14.769097,1.8339397684362186
10024,3.2625e+06,1607.7385,160,1800.0,1564700.796433023,0.04677109298315765,0.005737350782011213,14.998005,2.085063168266657
10025,1.975e+06,1353.2764,135,1335.0,1122187.32338252,-0.0008931101481650973,0.014380564541505488,14.496079,1.759955721159739
