zip_code,zhvi_current,zhvi_1yr_ago,growth_1yr,growth_5yr
77494,488519.52667066624,499066.2980562216,-0.021133006629847115,0.3645278500474538
08701,576072.479373119,533499.6575478,0.07979915492542668,0.867193705947441
77449,271412.16506877606,279953.69958998845,-0.030510525610920883,0.26073580382382655
11368,547913.7098338335,520198.32104453567,0.053278504885687715,-0.06766325993802096
77084,267297.1048475445,276422.3069780536,-0.03301181525568255,0.24432261461213065
79936,220871.31341058723,217579.9291078605,0.015127242279296411,0.42889725959396774
11385,870541.5213279774,836792.1104197191,0.04033189425188321,0.12837791783834146
78660,378245.3851372338,403514.1736437815,-0.06262181146790331,0.10852235862947475
11208,729691.7627441162,689434.0940123644,0.058392338123953974,0.1948114099979719
90011,600758.3482215166,604471.7317065747,-0.006143187994208233,0.19397709823698983
77433,428429.5122352236,435453.0417618232,-0.016129246676479022,0.28771318393462414
60629,258956.08655390175,253132.8858453074,0.023004520685443362,0.23324888783059233
90650,763347.1298799101,764996.401604562,-0.0021559208921669328,0.2819043547476447
91331,744599.5609600218,739979.451302208,0.006243564803973103,0.2878415894043528
37013,359506.9960340299,372266.0927055786,-0.03427413057906342,0.29593963639814475
11236,690650.2071329976,661021.2060860038,0.0448230718987536,0.19447149598537267
10467,423600.2485579637,388561.9863938132,0.09017418942428067,-0.11348831540495256
11373,522971.5994265496,511533.6937300272,0.022360024054562166,-0.14385416861699157
11226,792943.7711400901,782344.2493244851,0.01354841148862173,-0.11690900624336155
11207,636250.0624073091,617226.464048931,0.030821099655360756,0.20279883015631242
30044,360744.10419070703,374844.261672677,-0.03761604197714135,0.3506412930362843
90044,646523.9487447621,660003.0236120643,-0.02042274714672355,0.17377347293777382
92336,705173.7570967438,718952.6658734223,-0.019165251664988454,0.31988571428622653
94565,569592.7394137396,596957.8149338018,-0.04584088663467235,0.05476983149058213
77573,382844.93855974294,387237.98978681705,-0.011344577089382647,0.2185141676876639
92335,566922.2066296506,574713.3291653089,-0.013556537042517917,0.3325643206991928
90201,686976.2578399046,680960.3243202158,0.008834484631236521,0.2900304652531864
90250,882169.6712589273,881470.5041810833,0.0007931826130626817,0.15067259548711182
